"Series";"Time";"Value"
"Probe-1";"2020-05-04T15:31:00+02:00";49.2875
"Probe-1";"2020-05-04T15:31:01+02:00";49.5625
"Probe-1";"2020-05-04T15:31:01+02:00";49.8375
"Probe-1";"2020-05-04T15:31:01+02:00";50.1125
"Probe-1";"2020-05-04T15:31:01+02:00";50.3875
"Probe-1";"2020-05-04T15:31:01+02:00";50.6625
"Probe-1";"2020-05-04T15:31:02+02:00";50.9375
"Probe-1";"2020-05-04T15:31:02+02:00";50.94375
"Probe-1";"2020-05-04T15:31:02+02:00";50.95
"Probe-1";"2020-05-04T15:31:02+02:00";50.95625
"Probe-1";"2020-05-04T15:31:02+02:00";50.9625
"Probe-1";"2020-05-04T15:31:03+02:00";50.96875
"Probe-1";"2020-05-04T15:31:03+02:00";50.975
"Probe-1";"2020-05-04T15:31:03+02:00";50.98125
"Probe-1";"2020-05-04T15:31:03+02:00";50.9875
"Probe-1";"2020-05-04T15:31:03+02:00";50.99375
"Probe-1";"2020-05-04T15:31:04+02:00";51
"Probe-1";"2020-05-04T15:31:04+02:00";51
"Probe-1";"2020-05-04T15:31:04+02:00";51
"Probe-1";"2020-05-04T15:31:04+02:00";51
"Probe-1";"2020-05-04T15:31:04+02:00";51
"Probe-1";"2020-05-04T15:31:05+02:00";51
"Probe-1";"2020-05-04T15:31:05+02:00";51
"Probe-1";"2020-05-04T15:31:05+02:00";51
"Probe-1";"2020-05-04T15:31:05+02:00";51
"Probe-1";"2020-05-04T15:31:05+02:00";51
"Probe-1";"2020-05-04T15:31:06+02:00";51
"Probe-1";"2020-05-04T15:31:06+02:00";50.99375
"Probe-1";"2020-05-04T15:31:06+02:00";50.9875
"Probe-1";"2020-05-04T15:31:06+02:00";50.98125
"Probe-1";"2020-05-04T15:31:06+02:00";50.975
"Probe-1";"2020-05-04T15:31:07+02:00";50.96875
"Probe-1";"2020-05-04T15:31:07+02:00";50.9625
"Probe-1";"2020-05-04T15:31:07+02:00";50.95625
"Probe-1";"2020-05-04T15:31:07+02:00";50.95
"Probe-1";"2020-05-04T15:31:07+02:00";50.94375
"Probe-1";"2020-05-04T15:31:08+02:00";50.9375
"Probe-1";"2020-05-04T15:31:08+02:00";50.94375
"Probe-1";"2020-05-04T15:31:08+02:00";50.95
"Probe-1";"2020-05-04T15:31:08+02:00";50.95625
"Probe-1";"2020-05-04T15:31:08+02:00";50.9625
"Probe-1";"2020-05-04T15:31:09+02:00";50.96875
"Probe-1";"2020-05-04T15:31:09+02:00";50.975
"Probe-1";"2020-05-04T15:31:09+02:00";50.98125
"Probe-1";"2020-05-04T15:31:09+02:00";50.9875
"Probe-1";"2020-05-04T15:31:09+02:00";50.99375
"Probe-1";"2020-05-04T15:31:10+02:00";51
"Probe-1";"2020-05-04T15:31:10+02:00";51
"Probe-1";"2020-05-04T15:31:10+02:00";51
"Probe-1";"2020-05-04T15:31:10+02:00";51
"Probe-1";"2020-05-04T15:31:10+02:00";51
"Probe-1";"2020-05-04T15:31:11+02:00";51
"Probe-1";"2020-05-04T15:31:11+02:00";51
"Probe-1";"2020-05-04T15:31:11+02:00";51
